year,geo,fuel_type,amount,latitude,longitude,cumsum
2011,Newfoundland and Labrador,All fuel types,0,53,-60,0
2011,Newfoundland and Labrador,Gasoline,0,53,-60,0
2011,Newfoundland and Labrador,Diesel,0,53,-60,0
2011,Newfoundland and Labrador,Battery electric,0,53,-60,0
2011,Newfoundland and Labrador,Hybrid electric,0,53,-60,0
2011,Newfoundland and Labrador,Plug-in hybrid electric,0,53,-60,0
2011,Newfoundland and Labrador,Other fuel types,0,53,-60,0
2011,Prince Edward Island,All fuel types,6266,46.25,-63,6266
2011,Prince Edward Island,Gasoline,6127,46.25,-63,6127
2011,Prince Edward Island,Diesel,101,46.25,-63,101
2011,Prince Edward Island,Battery electric,0,46.25,-63,0
2011,Prince Edward Island,Hybrid electric,38,46.25,-63,38
2011,Prince Edward Island,Plug-in hybrid electric,0,46.25,-63,0
2011,Prince Edward Island,Other fuel types,0,46.25,-63,0
2011,Nova Scotia,All fuel types,0,45,-63,0
2011,Nova Scotia,Gasoline,0,45,-63,0
2011,Nova Scotia,Diesel,0,45,-63,0
2011,Nova Scotia,Battery electric,0,45,-63,0
2011,Nova Scotia,Hybrid electric,0,45,-63,0
2011,Nova Scotia,Plug-in hybrid electric,0,45,-63,0
2011,Nova Scotia,Other fuel types,0,45,-63,0
2011,New Brunswick,All fuel types,40110,46.49839,-66.159668,40110
2011,New Brunswick,Gasoline,39264,46.49839,-66.159668,39264
2011,New Brunswick,Diesel,705,46.49839,-66.159668,705
2011,New Brunswick,Battery electric,0,46.49839,-66.159668,0
2011,New Brunswick,Hybrid electric,141,46.49839,-66.159668,141
2011,New Brunswick,Plug-in hybrid electric,0,46.49839,-66.159668,0
2011,New Brunswick,Other fuel types,0,46.49839,-66.159668,0
2011,Quebec,All fuel types,420524,53,-70,420524
2011,Quebec,Gasoline,408292,53,-70,408292
2011,Quebec,Diesel,9987,53,-70,9987
2011,Quebec,Battery electric,64,53,-70,64
2011,Quebec,Hybrid electric,2082,53,-70,2082
2011,Quebec,Plug-in hybrid electric,99,53,-70,99
2011,Quebec,Other fuel types,0,53,-70,0
2011,Ontario,All fuel types,577342,50,-85,577342
2011,Ontario,Gasoline,556037,50,-85,556037
2011,Ontario,Diesel,16666,50,-85,16666
2011,Ontario,Battery electric,80,50,-85,80
2011,Ontario,Hybrid electric,4396,50,-85,4396
