year,geo,vehicle_type,origin_of_manufacture,sales,value
1946,Canada,Passenger cars,"Total, country of manufacture",Dollars,120326000
1946,Canada,Passenger cars,"Total, country of manufacture",Units,77742
1946,Canada,"Total, new motor vehicles","Total, country of manufacture",Dollars,193329000
1946,Canada,"Total, new motor vehicles","Total, country of manufacture",Units,120044
1946,Canada,Trucks,"Total, country of manufacture",Dollars,73003000
1946,Canada,Trucks,"Total, country of manufacture",Units,42302
1947,Canada,Passenger cars,"Total, country of manufacture",Dollars,283190000
1947,Canada,Passenger cars,"Total, country of manufacture",Units,159205
1947,Canada,"Total, new motor vehicles","Total, country of manufacture",Dollars,416239000
1947,Canada,"Total, new motor vehicles","Total, country of manufacture",Units,230255
1947,Canada,Trucks,"Total, country of manufacture",Dollars,133049000
1947,Canada,Trucks,"Total, country of manufacture",Units,71050
1948,Canada,Passenger cars,"Total, country of manufacture",Dollars,282904000
1948,Canada,Passenger cars,"Total, country of manufacture",Units,145655
1948,Canada,"Total, new motor vehicles","Total, country of manufacture",Dollars,439218000
1948,Canada,"Total, new motor vehicles","Total, country of manufacture",Units,221300
1948,Canada,Trucks,"Total, country of manufacture",Dollars,156314000
1948,Canada,Trucks,"Total, country of manufacture",Units,75645
1949,Canada,Passenger cars,"Total, country of manufacture",Dollars,412299000
1949,Canada,Passenger cars,"Total, country of manufacture",Units,202318
1949,Canada,"Total, new motor vehicles","Total, country of manufacture",Dollars,588725000
1949,Canada,"Total, new motor vehicles","Total, country of manufacture",Units,286341
1949,Canada,Trucks,"Total, country of manufacture",Dollars,176426000
1949,Canada,Trucks,"Total, country of manufacture",Units,84023
1950,Canada,Passenger cars,"Total, country of manufacture",Dollars,661674000
1950,Canada,Passenger cars,"Total, country of manufacture",Units,324903
1950,Canada,"Total, new motor vehicles","Total, country of manufacture",Dollars,885670000
1950,Canada,"Total, new motor vehicles","Total, country of manufacture",Units,429695
1950,Canada,Trucks,"Total, country of manufacture",Dollars,223996000
1950,Canada,Trucks,"Total, country of manufacture",Units,104792
1951,Canada,Passenger cars,"Total, country of manufacture",Dollars,683184000
1951,Canada,Passenger cars,"Total, country of manufacture",Units,275686
1951,Canada,"Total, new motor vehicles","Total, country of manufacture",Dollars,950161000
1951,Canada,"Total, new motor vehicles","Total, country of manufacture",Units,385648
1951,Canada,Trucks,"Total, country of manufacture",Dollars,266977000
1951,Canada,Trucks,"Total, country of manufacture",Units,109962
1952,Canada,Passenger cars,"Total, country of manufacture",Dollars,725167000
1952,Canada,Passenger cars,"Total, country of manufacture",Units,292095
1952,Canada,"Total, new motor vehicles","Total, country of manufacture",Dollars,1002617000
1952,Canada,"Total, new motor vehicles","Total, country of manufacture",Units,400777
1952,Canada,Trucks,"Total, country of manufacture",Dollars,277450000
1952,Canada,Trucks,"Total, country of manufacture",Units,108682
1953,Canada,Passenger cars,North America,Dollars,849125000
1953,Canada,Passenger cars,North America,Units,332794
1953,Canada,Passenger cars,"Total, country of manufacture",Dollars,899726000
1953,Canada,Passenger cars,"Total, country of manufacture",Units,359172
1953,Canada,Passenger cars,"Total, overseas",Dollars,50601000
1953,Canada,Passenger cars,"Total, overseas",Units,26378
1953,Canada,"Total, new motor vehicles","Total, country of manufacture",Dollars,1162471000
1953,Canada,"Total, new motor vehicles","Total, country of manufacture",Units,462526
1953,Canada,Trucks,North America,Dollars,259542000
1953,Canada,Trucks,North America,Units,101707
1953,Canada,Trucks,"Total, country of manufacture",Dollars,262745000
1953,Canada,Trucks,"Total, country of manufacture",Units,103354
1953,Canada,Trucks,"Total, overseas",Dollars,3203000
1953,Canada,Trucks,"Total, overseas",Units,1647
1954,Canada,Passenger cars,North America,Dollars,759091000
1954,Canada,Passenger cars,North America,Units,290298
1954,Canada,Passenger cars,"Total, country of manufacture",Dollars,797554000
1954,Canada,Passenger cars,"Total, country of manufacture",Units,310546
1954,Canada,Passenger cars,"Total, overseas",Dollars,38463000
1954,Canada,Passenger cars,"Total, overseas",Units,20248
1954,Canada,"Total, new motor vehicles","Total, country of manufacture",Dollars,989518000
1954,Canada,"Total, new motor vehicles","Total, country of manufacture",Units,382628
1954,Canada,Trucks,North America,Dollars,188731000
1954,Canada,Trucks,North America,Units,70472
1954,Canada,Trucks,"Total, country of manufacture",Dollars,191964000
1954,Canada,Trucks,"Total, country of manufacture",Units,72082
1954,Canada,Trucks,"Total, overseas",Dollars,3233000
1954,Canada,Trucks,"Total, overseas",Units,1610
1955,Canada,Passenger cars,North America,Dollars,982742000
1955,Canada,Passenger cars,North America,Units,364797
1955,Canada,Passenger cars,"Total, country of manufacture",Dollars,1023351000
1955,Canada,Passenger cars,"Total, country of manufacture",Units,386962
1955,Canada,Passenger cars,"Total, overseas",Dollars,40609000
1955,Canada,Passenger cars,"Total, overseas",Units,22165
1955,Canada,"Total, new motor vehicles","Total, country of manufacture",Dollars,1255890000
1955,Canada,"Total, new motor vehicles","Total, country of manufacture",Units,465678
1955,Canada,Trucks,North America,Dollars,227488000
1955,Canada,Trucks,North America,Units,76250
1955,Canada,Trucks,"Total, country of manufacture",Dollars,232539000
1955,Canada,Trucks,"Total, country of manufacture",Units,78716
1955,Canada,Trucks,"Total, overseas",Dollars,5051000
1955,Canada,Trucks,"Total, overseas",Units,2466
1956,Canada,Passenger cars,North America,Dollars,1064750000
1956,Canada,Passenger cars,North America,Units,374064
1956,Canada,Passenger cars,"Total, country of manufacture",Dollars,1128640000
1956,Canada,Passenger cars,"Total, country of manufacture",Units,408233
1956,Canada,Passenger cars,"Total, overseas",Dollars,63890000
1956,Canada,Passenger cars,"Total, overseas",Units,34169
1956,Canada,"Total, new motor vehicles","Total, country of manufacture",Dollars,1455375000
1956,Canada,"Total, new motor vehicles","Total, country of manufacture",Units,499921
1956,Canada,Trucks,North America,Dollars,318705000
1956,Canada,Trucks,North America,Units,87843
1956,Canada,Trucks,"Total, country of manufacture",Dollars,326735000
1956,Canada,Trucks,"Total, country of manufacture",Units,91688
1956,Canada,Trucks,"Total, overseas",Dollars,8030000
1956,Canada,Trucks,"Total, overseas",Units,3845
1957,Canada,Passenger cars,North America,Dollars,994723000
1957,Canada,Passenger cars,North America,Units,332590
1957,Canada,Passenger cars,"Total, country of manufacture",Dollars,1087620000
1957,Canada,Passenger cars,"Total, country of manufacture",Units,382023
1957,Canada,Passenger cars,"Total, overseas",Dollars,92897000
1957,Canada,Passenger cars,"Total, overseas",Units,49433
1957,Canada,"Total, new motor vehicles","Total, country of manufacture",Dollars,1368931000
1957,Canada,"Total, new motor vehicles","Total, country of manufacture",Units,458299
1957,Canada,Trucks,North America,Dollars,271838000
