REF_DATE,VALUE,from,dim_trad,dim_mode,dim_years,dim_type,to
2008,220,1,1,1,1,1,1
2008,20,1,1,1,1,1,9
2008,5,1,1,1,1,1,10
2008,220,1,1,1,2,1,1
2008,5,1,1,1,2,1,3
2008,5,1,1,1,2,1,6
2008,15,1,1,1,2,1,9
2008,5,1,1,1,2,1,11
2008,55,1,2,1,1,1,1
2008,5,1,2,1,1,1,9
2008,50,1,2,1,2,1,1
2008,280,1,4,1,1,1,1
2008,25,1,4,1,1,1,9
2008,5,1,4,1,1,1,10
2008,275,1,4,1,2,1,1
2008,5,1,4,1,2,1,3
2008,5,1,4,1,2,1,6
2008,15,1,4,1,2,1,9
2008,5,1,4,1,2,1,11
2008,50,2,1,1,1,1,2
2008,5,2,1,1,1,1,9
2008,45,2,1,1,2,1,2
2008,5,2,1,1,2,1,4
2008,10,2,1,1,2,1,9
2008,15,2,2,1,1,1,2
2008,15,2,2,1,2,1,2
2008,65,2,4,1,1,1,2
2008,5,2,4,1,1,1,9
2008,60,2,4,1,2,1,2
2008,5,2,4,1,2,1,4
2008,10,2,4,1,2,1,9
2008,255,3,1,1,1,1,3
2008,5,3,1,1,1,1,4
2008,5,3,1,1,1,1,6
2008,20,3,1,1,1,1,9
2008,5,3,1,1,1,1,10
2008,260,3,1,1,2,1,3
2008,5,3,1,1,2,1,4
2008,15,3,1,1,2,1,9
2008,5,3,1,1,2,1,10
2008,100,3,2,1,1,1,3
2008,5,3,2,1,1,1,9
2008,95,3,2,1,2,1,3
2008,5,3,2,1,2,1,4
2008,5,3,2,1,2,1,6
2008,5,3,2,1,2,1,9
2008,360,3,4,1,1,1,3
2008,5,3,4,1,1,1,4
2008,5,3,4,1,1,1,6
2008,25,3,4,1,1,1,9
2008,5,3,4,1,1,1,10
2008,360,3,4,1,2,1,3
2008,10,3,4,1,2,1,4
2008,5,3,4,1,2,1,6
2008,20,3,4,1,2,1,9
2008,5,3,4,1,2,1,10
2008,5,4,1,1,1,1,3
2008,305,4,1,1,1,1,4
2008,5,4,1,1,1,1,5
2008,5,4,1,1,1,1,9
2008,305,4,1,1,2,1,4
2008,5,4,1,1,2,1,5
2008,5,4,1,1,2,1,9
2008,170,4,2,1,1,1,4
2008,160,4,2,1,2,1,4
2008,5,4,2,1,2,1,9
2008,30,4,3,1,1,1,4
2008,30,4,3,1,2,1,4
2008,5,4,4,1,1,1,3
2008,505,4,4,1,1,1,4
2008,5,4,4,1,1,1,5
2008,5,4,4,1,1,1,9
2008,495,4,4,1,2,1,4
2008,5,4,4,1,2,1,5
2008,10,4,4,1,2,1,9
2008,2315,5,1,1,1,1,5
2008,5,5,1,1,1,1,6
2008,5,5,1,1,1,1,9
2008,2305,5,1,1,2,1,5
2008,5,5,1,1,2,1,6
2008,5,5,1,1,2,1,9
2008,1640,5,2,1,1,1,5
2008,10,5,2,1,1,1,9
2008,1645,5,2,1,2,1,5
2008,5,5,2,1,2,1,9
2008,5,5,3,1,1,1,4
2008,2485,5,3,1,1,1,5
2008,35,5,3,1,1,1,6
2008,5,5,3,1,2,1,4
2008,2480,5,3,1,2,1,5
2008,30,5,3,1,2,1,6
2008,5,5,3,1,2,1,9
2008,5,5,3,1,2,1,10
2008,5,5,4,1,1,1,4
2008,6440,5,4,1,1,1,5
2008,40,5,4,1,1,1,6
2008,15,5,4,1,1,1,9
2008,5,5,4,1,2,1,4
2008,6430,5,4,1,2,1,5
2008,35,5,4,1,2,1,6
2008,15,5,4,1,2,1,9
2008,5,5,4,1,2,1,10
2008,5,6,1,1,1,1,1
2008,5,6,1,1,1,1,3
2008,20,6,1,1,1,1,5
2008,4340,6,1,1,1,1,6
2008,5,6,1,1,1,1,8
2008,55,6,1,1,1,1,9
2008,30,6,1,1,1,1,10
2008,10,6,1,1,2,1,1
2008,5,6,1,1,2,1,3
2008,25,6,1,1,2,1,5
2008,4270,6,1,1,2,1,6
2008,5,6,1,1,2,1,7
2008,15,6,1,1,2,1,8
2008,70,6,1,1,2,1,9
2008,35,6,1,1,2,1,10
2008,5,6,1,1,2,1,11
2008,5,6,2,1,1,1,4
2008,20,6,2,1,1,1,5
2008,1915,6,2,1,1,1,6
2008,20,6,2,1,1,1,9
2008,15,6,2,1,1,1,10
2008,5,6,2,1,2,1,1
2008,5,6,2,1,2,1,3
2008,15,6,2,1,2,1,5
2008,1880,6,2,1,2,1,6
2008,5,6,2,1,2,1,8
2008,30,6,2,1,2,1,9
2008,15,6,2,1,2,1,10
2008,5,6,3,1,1,1,1
2008,5,6,3,1,1,1,3
2008,30,6,3,1,1,1,5
2008,965,6,3,1,1,1,6
2008,5,6,3,1,1,1,8
2008,10,6,3,1,1,1,9
2008,5,6,3,1,1,1,10
2008,30,6,3,1,2,1,5
2008,940,6,3,1,2,1,6
2008,5,6,3,1,2,1,7
2008,10,6,3,1,2,1,9
2008,10,6,3,1,2,1,10
2008,10,6,4,1,1,1,1
2008,10,6,4,1,1,1,3
2008,5,6,4,1,1,1,4
2008,70,6,4,1,1,1,5
2008,7220,6,4,1,1,1,6
2008,10,6,4,1,1,1,8
2008,85,6,4,1,1,1,9
2008,50,6,4,1,1,1,10
2008,15,6,4,1,2,1,1
2008,10,6,4,1,2,1,3
2008,70,6,4,1,2,1,5
2008,7090,6,4,1,2,1,6
2008,10,6,4,1,2,1,7
2008,20,6,4,1,2,1,8
2008,110,6,4,1,2,1,9
2008,60,6,4,1,2,1,10
2008,5,6,4,1,2,1,11
2008,5,7,1,1,1,1,6
2008,530,7,1,1,1,1,7
2008,5,7,1,1,1,1,8
