Year,Province,zev,All,lat,long,mcma,id
2014,PE,6,"7,609",46.238888,-63.129166,Charlottetown,1
2015,PE,0,8107,46.238888,-63.129166,Charlottetown,2
2016,PE,7,8820,46.238888,-63.129166,Charlottetown,3
2017,PE,6,8866,46.238888,-63.129166,Charlottetown,4
2018,PE,18,7949,46.238888,-63.129166,Charlottetown,5
2014,NB,12,"43,300",46.49839,-66.159668,Fredricton,1
2015,NB,8,"42,269",46.49839,-66.159668,Fredricton,2
2016,NB,36,"43,784",46.49839,-66.159668,Fredricton,3
2017,NB,38,"43,918",46.49839,-66.159668,Fredricton,4
2018,NB,69,"40,974",46.49839,-66.159668,Fredricton,5
2014,QC,2774,"436,311",53,-70,Quebec City,1
2015,QC,3184,"457,917",53,-70,Quebec City,2
2016,QC,5341,"463,838",53,-70,Quebec City,3
2017,QC,8092,"477,359",53,-70,Quebec City,4
2018,QC,17740,"466,987",53,-70,Quebec City,5
2014,ON,1744,"664,251",50,-85,"Ottawa, Toronto",1
2015,ON,2073,"714,204",50,-85,"Ottawa, Toronto",2
2016,ON,4012,"755,688",50,-85,"Ottawa, Toronto",3
2017,ON,8426,"801,352",50,-85,"Ottawa, Toronto",4
2018,ON,16365,"798,513",50,-85,"Ottawa, Toronto",5
2014,MB,18,"56,437",53.76,-98.81,Winnepeg,1
2015,MB,33,"55,160",53.76,-98.81,Winnepeg,2
2016,MB,57,"54,059",53.76,-98.81,Winnepeg,3
2017,MB,80,"58,308",53.76,-98.81,Winnepeg,4
2018,MB,174,"53,981",53.76,-98.81,Winnepeg,5
2014,SK,19,"59,102",55,-106,Regina,1
2015,SK,17,"59,054",55,-106,Regina,2
2016,SK,35,"54,494",55,-106,Regina,3
2017,SK,39,"56,517",55,-106,Regina,4
2018,SK,88,"52,382",55,-106,Regina,5
2014,BC,706,"199,122",49.24,-123.116,"Vancouver, Victoria",1
2015,BC,1399,"213,738",49.24,-123.116,"Vancouver, Victoria",2
2016,BC,2091,"222,766",49.24,-123.116,"Vancouver, Victoria",3
2017,BC,3102,"239,208",49.24,-123.116,"Vancouver, Victoria",4
2018,BC,8129,"230,092",49.24,-123.116,"Vancouver, Victoria",5
