"REF_DATE","GEO","DGUID","Fuel consumed for electric power generation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005","Canada","2016A000011124","Total coal","Metric tonnes","214","units ","0","v52310007","1.2","51735781","","","","0"
"2006","Canada","2016A000011124","Total coal","Metric tonnes","214","units ","0","v52310007","1.2","50783214","","","","0"
"2007","Canada","2016A000011124","Total coal","Metric tonnes","214","units ","0","v52310007","1.2","55580650","","","","0"
"2008","Canada","2016A000011124","Total coal","Metric tonnes","214","units ","0","v52310007","1.2","50724638","","","","0"
"2009","Canada","2016A000011124","Total coal","Metric tonnes","214","units ","0","v52310007","1.2","43208751","","r","","0"
"2010","Canada","2016A000011124","Total coal","Metric tonnes","214","units ","0","v52310007","1.2","43744798","","","","0"
"2011","Canada","2016A000011124","Total coal","Metric tonnes","214","units ","0","v52310007","1.2","41052964","","","","0"
"2012","Canada","2016A000011124","Total coal","Metric tonnes","214","units ","0","v52310007","1.2","36980676","","r","","0"
"2013","Canada","2016A000011124","Total coal","Metric tonnes","214","units ","0","v52310007","1.2","36424396","","r","","0"
"2014","Canada","2016A000011124","Total coal","Metric tonnes","214","units ","0","v52310007","1.2","35922792","","","","0"
"2015","Canada","2016A000011124","Total coal","Metric tonnes","214","units ","0","v52310007","1.2","33424860","","","","0"
"2016","Canada","2016A000011124","Total coal","Metric tonnes","214","units ","0","v52310007","1.2","33534105","","","","0"
"2017","Canada","2016A000011124","Total coal","Metric tonnes","214","units ","0","v52310007","1.2","33314673","","","","0"
"2018","Canada","2016A000011124","Total coal","Metric tonnes","214","units ","0","v52310007","1.2","25973940","","","","0"
"2005","Canada","2016A000011124","Wood","Metric tonnes","214","units ","0","v52309997","1.10","1508524","","","","0"
"2006","Canada","2016A000011124","Wood","Metric tonnes","214","units ","0","v52309997","1.10","1984505","","","","0"
"2007","Canada","2016A000011124","Wood","Metric tonnes","214","units ","0","v52309997","1.10","2102778","","","","0"
"2008","Canada","2016A000011124","Wood","Metric tonnes","214","units ","0","v52309997","1.10","1950318","","","","0"
"2009","Canada","2016A000011124","Wood","Metric tonnes","214","units ","0","v52309997","1.10","2742209","","r","","0"
"2010","Canada","2016A000011124","Wood","Metric tonnes","214","units ","0","v52309997","1.10","3148569","","r","","0"
"2011","Canada","2016A000011124","Wood","Metric tonnes","214","units ","0","v52309997","1.10","3224038","","r","","0"
"2012","Canada","2016A000011124","Wood","Metric tonnes","214","units ","0","v52309997","1.10","2904570","","","","0"
"2013","Canada","2016A000011124","Wood","Metric tonnes","214","units ","0","v52309997","1.10","2909876","","","","0"
