"REF_DATE","GEO","DGUID","Cost of fuel for electric power generation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005","Canada","2016A000011124","Total coal","Dollars","81","thousands","3","v52310171","1.2","1536300","","","","0"
"2006","Canada","2016A000011124","Total coal","Dollars","81","thousands","3","v52310171","1.2","1505137","","","","0"
"2007","Canada","2016A000011124","Total coal","Dollars","81","thousands","3","v52310171","1.2","1699441","","","","0"
"2008","Canada","2016A000011124","Total coal","Dollars","81","thousands","3","v52310171","1.2","1564837","","","","0"
"2009","Canada","2016A000011124","Total coal","Dollars","81","thousands","3","v52310171","1.2","1231010","","","","0"
"2010","Canada","2016A000011124","Total coal","Dollars","81","thousands","3","v52310171","1.2","1398372","","","","0"
"2011","Canada","2016A000011124","Total coal","Dollars","81","thousands","3","v52310171","1.2","1171483","","","","0"
"2012","Canada","2016A000011124","Total coal","Dollars","81","thousands","3","v52310171","1.2","1213405","","r","","0"
"2013","Canada","2016A000011124","Total coal","Dollars","81","thousands","3","v52310171","1.2","1285988","","","","0"
"2014","Canada","2016A000011124","Total coal","Dollars","81","thousands","3","v52310171","1.2","1048196","","","","0"
"2015","Canada","2016A000011124","Total coal","Dollars","81","thousands","3","v52310171","1.2","962115","","","","0"
"2016","Canada","2016A000011124","Total coal","Dollars","81","thousands","3","v52310171","1.2","1053339","","","","0"
"2017","Canada","2016A000011124","Total coal","Dollars","81","thousands","3","v52310171","1.2","937227","","","","0"
"2018","Canada","2016A000011124","Total coal","Dollars","81","thousands","3","v52310171","1.2","717766","","","","0"
"2005","Canada","2016A000011124","Wood","Dollars","81","thousands","3","v52310161","1.10","26795","","","","0"
"2006","Canada","2016A000011124","Wood","Dollars","81","thousands","3","v52310161","1.10","24194","","","","0"
"2007","Canada","2016A000011124","Wood","Dollars","81","thousands","3","v52310161","1.10","22741","","","","0"
"2008","Canada","2016A000011124","Wood","Dollars","81","thousands","3","v52310161","1.10","27208","","","","0"
"2009","Canada","2016A000011124","Wood","Dollars","81","thousands","3","v52310161","1.10","46070","","r","","0"
"2010","Canada","2016A000011124","Wood","Dollars","81","thousands","3","v52310161","1.10","48531","","r","","0"
"2011","Canada","2016A000011124","Wood","Dollars","81","thousands","3","v52310161","1.10","58256","","","","0"
"2012","Canada","2016A000011124","Wood","Dollars","81","thousands","3","v52310161","1.10","41481","","r","","0"
"2013","Canada","2016A000011124","Wood","Dollars","81","thousands","3","v52310161","1.10","38506","","r","","0"
"2014","Canada","2016A000011124","Wood","Dollars","81","thousands","3","v52310161","1.10","47504","","","","0"
"2015","Canada","2016A000011124","Wood","Dollars","81","thousands","3","v52310161","1.10","61078","","","","0"
"2016","Canada","2016A000011124","Wood","Dollars","81","thousands","3","v52310161","1.10","77664","","","","0"
"2017","Canada","2016A000011124","Wood","Dollars","81","thousands","3","v52310161","1.10","78068","","","","0"
"2018","Canada","2016A000011124","Wood","Dollars","81","thousands","3","v52310161","1.10","69263","","","","0"
"2005","Canada","2016A000011124","Total petroleum products","Dollars","81","thousands","3","v52310165","1.14","733736","","","","0"
"2006","Canada","2016A000011124","Total petroleum products","Dollars","81","thousands","3","v52310165","1.14","430299","","","","0"
"2007","Canada","2016A000011124","Total petroleum products","Dollars","81","thousands","3","v52310165","1.14","548154","","","","0"
"2008","Canada","2016A000011124","Total petroleum products","Dollars","81","thousands","3","v52310165","1.14","509326","","","","0"
"2009","Canada","2016A000011124","Total petroleum products","Dollars","81","thousands","3","v52310165","1.14","540264","","r","","0"
"2010","Canada","2016A000011124","Total petroleum products","Dollars","81","thousands","3","v52310165","1.14","373631","","r","","0"
"2011","Canada","2016A000011124","Total petroleum products","Dollars","81","thousands","3","v52310165","1.14","379995","","r","","0"
"2012","Canada","2016A000011124","Total petroleum products","Dollars","81","thousands","3","v52310165","1.14","440564","","","","0"
"2013","Canada","2016A000011124","Total petroleum products","Dollars","81","thousands","3","v52310165","1.14","420406","","r","","0"
"2014","Canada","2016A000011124","Total petroleum products","Dollars","81","thousands","3","v52310165","1.14","650786","","","","0"
"2015","Canada","2016A000011124","Total petroleum products","Dollars","81","thousands","3","v52310165","1.14","536814","","","","0"
"2016","Canada","2016A000011124","Total petroleum products","Dollars","81","thousands","3","v52310165","1.14","443479","","","","0"
"2017","Canada","2016A000011124","Total petroleum products","Dollars","81","thousands","3","v52310165","1.14","497026","","","","0"
"2018","Canada","2016A000011124","Total petroleum products","Dollars","81","thousands","3","v52310165","1.14","453174","","","","0"
"2005","Canada","2016A000011124","Light fuel oil","Dollars","81","thousands","3","v52310166","1.15","18168","","","","0"
"2006","Canada","2016A000011124","Light fuel oil","Dollars","81","thousands","3","v52310166","1.15","19426","","","","0"
"2007","Canada","2016A000011124","Light fuel oil","Dollars","81","thousands","3","v52310166","1.15","24606","","","","0"
"2008","Canada","2016A000011124","Light fuel oil","Dollars","81","thousands","3","v52310166","1.15","45144","","","","0"
"2009","Canada","2016A000011124","Light fuel oil","Dollars","81","thousands","3","v52310166","1.15","32367","","r","","0"
"2010","Canada","2016A000011124","Light fuel oil","Dollars","81","thousands","3","v52310166","1.15","32741","","","","0"
"2011","Canada","2016A000011124","Light fuel oil","Dollars","81","thousands","3","v52310166","1.15","34975","","","","0"
"2012","Canada","2016A000011124","Light fuel oil","Dollars","81","thousands","3","v52310166","1.15","38853","","","","0"
"2013","Canada","2016A000011124","Light fuel oil","Dollars","81","thousands","3","v52310166","1.15","37977","","r","","0"
"2014","Canada","2016A000011124","Light fuel oil","Dollars","81","thousands","3","v52310166","1.15","37365","","","","0"
"2015","Canada","2016A000011124","Light fuel oil","Dollars","81","thousands","3","v52310166","1.15","51638","","","","0"
"2016","Canada","2016A000011124","Light fuel oil","Dollars","81","thousands","3","v52310166","1.15","50822","","","","0"
"2017","Canada","2016A000011124","Light fuel oil","Dollars","81","thousands","3","v52310166","1.15","45400","","","","0"
"2018","Canada","2016A000011124","Light fuel oil","Dollars","81","thousands","3","v52310166","1.15","49265","","","","0"
"2005","Canada","2016A000011124","Total heavy fuel oil","Dollars","81","thousands","3","v52310167","1.16","606231","","","","0"
"2006","Canada","2016A000011124","Total heavy fuel oil","Dollars","81","thousands","3","v52310167","1.16","321684","","","","0"
"2007","Canada","2016A000011124","Total heavy fuel oil","Dollars","81","thousands","3","v52310167","1.16","409520","","","","0"
"2008","Canada","2016A000011124","Total heavy fuel oil","Dollars","81","thousands","3","v52310167","1.16","357731","","","","0"
"2009","Canada","2016A000011124","Total heavy fuel oil","Dollars","81","thousands","3","v52310167","1.16","381926","","r","","0"
"2010","Canada","2016A000011124","Total heavy fuel oil","Dollars","81","thousands","3","v52310167","1.16","259994","","","","0"
"2011","Canada","2016A000011124","Total heavy fuel oil","Dollars","81","thousands","3","v52310167","1.16","235535","","","","0"
"2012","Canada","2016A000011124","Total heavy fuel oil","Dollars","81","thousands","3","v52310167","1.16","277275","","","","0"
"2013","Canada","2016A000011124","Total heavy fuel oil","Dollars","81","thousands","3","v52310167","1.16","250905","","r","","0"
"2014","Canada","2016A000011124","Total heavy fuel oil","Dollars","81","thousands","3","v52310167","1.16","407643","","","","0"
"2015","Canada","2016A000011124","Total heavy fuel oil","Dollars","81","thousands","3","v52310167","1.16","300655","","","","0"
"2016","Canada","2016A000011124","Total heavy fuel oil","Dollars","81","thousands","3","v52310167","1.16","213534","","","","0"
"2017","Canada","2016A000011124","Total heavy fuel oil","Dollars","81","thousands","3","v52310167","1.16","269675","","","","0"
"2018","Canada","2016A000011124","Total heavy fuel oil","Dollars","81","thousands","3","v52310167","1.16","257275","","","","0"
"2005","Canada","2016A000011124","Diesel","Dollars","81","thousands","3","v52310170","1.19","109337","","","","0"
"2006","Canada","2016A000011124","Diesel","Dollars","81","thousands","3","v52310170","1.19","89189","","","","0"
"2007","Canada","2016A000011124","Diesel","Dollars","81","thousands","3","v52310170","1.19","114028","","","","0"
"2008","Canada","2016A000011124","Diesel","Dollars","81","thousands","3","v52310170","1.19","106452","","","","0"
"2009","Canada","2016A000011124","Diesel","Dollars","81","thousands","3","v52310170","1.19","125971","","r","","0"
"2010","Canada","2016A000011124","Diesel","Dollars","81","thousands","3","v52310170","1.19","80896","","r","","0"
"2011","Canada","2016A000011124","Diesel","Dollars","81","thousands","3","v52310170","1.19","109486","","r","","0"
"2012","Canada","2016A000011124","Diesel","Dollars","81","thousands","3","v52310170","1.19","124437","","","","0"
"2013","Canada","2016A000011124","Diesel","Dollars","81","thousands","3","v52310170","1.19","131524","","r","","0"
"2014","Canada","2016A000011124","Diesel","Dollars","81","thousands","3","v52310170","1.19","206536","","","","0"
"2015","Canada","2016A000011124","Diesel","Dollars","81","thousands","3","v52310170","1.19","184521","","","","0"
"2016","Canada","2016A000011124","Diesel","Dollars","81","thousands","3","v52310170","1.19","179122","","","","0"
"2017","Canada","2016A000011124","Diesel","Dollars","81","thousands","3","v52310170","1.19","181951","","","","0"
"2018","Canada","2016A000011124","Diesel","Dollars","81","thousands","3","v52310170","1.19","146634","","","","0"
"2006","Canada","2016A000011124","Propane","Dollars","81","thousands","3","v53834238","1.21","0","","","","0"
"2007","Canada","2016A000011124","Propane","Dollars","81","thousands","3","v53834238","1.21","0","","","","0"
"2008","Canada","2016A000011124","Propane","Dollars","81","thousands","3","v53834238","1.21","","..","","","0"
"2009","Canada","2016A000011124","Propane","Dollars","81","thousands","3","v53834238","1.21","25","","","","0"
"2010","Canada","2016A000011124","Propane","Dollars","81","thousands","3","v53834238","1.21","36","","","","0"
"2011","Canada","2016A000011124","Propane","Dollars","81","thousands","3","v53834238","1.21","33","","","","0"
"2012","Canada","2016A000011124","Propane","Dollars","81","thousands","3","v53834238","1.21","17","","","","0"
"2013","Canada","2016A000011124","Propane","Dollars","81","thousands","3","v53834238","1.21","23","","r","","0"
"2014","Canada","2016A000011124","Propane","Dollars","81","thousands","3","v53834238","1.21","25","","","","0"
"2015","Canada","2016A000011124","Propane","Dollars","81","thousands","3","v53834238","1.21","34","","","","0"
"2016","Canada","2016A000011124","Propane","Dollars","81","thousands","3","v53834238","1.21","0","","","","0"
"2017","Canada","2016A000011124","Propane","Dollars","81","thousands","3","v53834238","1.21","0","","","","0"
"2018","Canada","2016A000011124","Propane","Dollars","81","thousands","3","v53834238","1.21","0","","","","0"
"2005","Canada","2016A000011124","Natural gas","Dollars","81","thousands","3","v52310173","1.24","1934493","","","","0"
"2006","Canada","2016A000011124","Natural gas","Dollars","81","thousands","3","v52310173","1.24","1961089","","","","0"
"2007","Canada","2016A000011124","Natural gas","Dollars","81","thousands","3","v52310173","1.24","1918519","","","","0"
"2008","Canada","2016A000011124","Natural gas","Dollars","81","thousands","3","v52310173","1.24","1983683","","","","0"
"2009","Canada","2016A000011124","Natural gas","Dollars","81","thousands","3","v52310173","1.24","1513744","","r","","0"
"2010","Canada","2016A000011124","Natural gas","Dollars","81","thousands","3","v52310173","1.24","1787167","","r","","0"
"2011","Canada","2016A000011124","Natural gas","Dollars","81","thousands","3","v52310173","1.24","1797510","","r","","0"
"2012","Canada","2016A000011124","Natural gas","Dollars","81","thousands","3","v52310173","1.24","1462559","","r","","0"
"2013","Canada","2016A000011124","Natural gas","Dollars","81","thousands","3","v52310173","1.24","1654238","","r","","0"
"2014","Canada","2016A000011124","Natural gas","Dollars","81","thousands","3","v52310173","1.24","1812532","","","","0"
"2015","Canada","2016A000011124","Natural gas","Dollars","81","thousands","3","v52310173","1.24","1332717","","","","0"
"2016","Canada","2016A000011124","Natural gas","Dollars","81","thousands","3","v52310173","1.24","1113314","","","","0"
"2017","Canada","2016A000011124","Natural gas","Dollars","81","thousands","3","v52310173","1.24","902809","","","","0"
"2018","Canada","2016A000011124","Natural gas","Dollars","81","thousands","3","v52310173","1.24","1106982","","","","0"
"2005","Canada","2016A000011124","Methane","Dollars","81","thousands","3","v52310174","1.26","0","","","","0"
"2006","Canada","2016A000011124","Methane","Dollars","81","thousands","3","v52310174","1.26","0","","","","0"
"2007","Canada","2016A000011124","Methane","Dollars","81","thousands","3","v52310174","1.26","0","","","","0"
"2008","Canada","2016A000011124","Methane","Dollars","81","thousands","3","v52310174","1.26","879","","","","0"
"2009","Canada","2016A000011124","Methane","Dollars","81","thousands","3","v52310174","1.26","1614","","r","","0"
"2010","Canada","2016A000011124","Methane","Dollars","81","thousands","3","v52310174","1.26","2099","","r","","0"
"2011","Canada","2016A000011124","Methane","Dollars","81","thousands","3","v52310174","1.26","2009","","","","0"
"2012","Canada","2016A000011124","Methane","Dollars","81","thousands","3","v52310174","1.26","1405","","r","","0"
"2013","Canada","2016A000011124","Methane","Dollars","81","thousands","3","v52310174","1.26","1544","","r","","0"
"2014","Canada","2016A000011124","Methane","Dollars","81","thousands","3","v52310174","1.26","1371","","","","0"
"2015","Canada","2016A000011124","Methane","Dollars","81","thousands","3","v52310174","1.26","924","","","","0"
"2016","Canada","2016A000011124","Methane","Dollars","81","thousands","3","v52310174","1.26","3144","","","","0"
"2017","Canada","2016A000011124","Methane","Dollars","81","thousands","3","v52310174","1.26","4978","","","","0"
"2018","Canada","2016A000011124","Methane","Dollars","81","thousands","3","v52310174","1.26","4071","","","","0"
"2005","Canada","2016A000011124","Uranium","Dollars","81","thousands","3","v52310176","1.28","177584","","","","0"
"2006","Canada","2016A000011124","Uranium","Dollars","81","thousands","3","v52310176","1.28","189747","","","","0"
