"REF_DATE","GEO","DGUID","Electricity generated from fuels","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005","Canada","2016A000011124","Total coal","Megawatt hours","210","units ","0","v52310329","1.2","93892078","","","","0"
"2006","Canada","2016A000011124","Total coal","Megawatt hours","210","units ","0","v52310329","1.2","86988827","","","","0"
"2007","Canada","2016A000011124","Total coal","Megawatt hours","210","units ","0","v52310329","1.2","94525883","","","","0"
"2008","Canada","2016A000011124","Total coal","Megawatt hours","210","units ","0","v52310329","1.2","87734781","","","","0"
"2009","Canada","2016A000011124","Total coal","Megawatt hours","210","units ","0","v52310329","1.2","73570436","","r","","0"
"2010","Canada","2016A000011124","Total coal","Megawatt hours","210","units ","0","v52310329","1.2","74300030","","","","0"
"2011","Canada","2016A000011124","Total coal","Megawatt hours","210","units ","0","v52310329","1.2","70205035","","r","","0"
"2012","Canada","2016A000011124","Total coal","Megawatt hours","210","units ","0","v52310329","1.2","60151178","","r","","0"
"2013","Canada","2016A000011124","Total coal","Megawatt hours","210","units ","0","v52310329","1.2","60891654","","","","0"
"2014","Canada","2016A000011124","Total coal","Megawatt hours","210","units ","0","v52310329","1.2","61588772","","","","0"
"2015","Canada","2016A000011124","Total coal","Megawatt hours","210","units ","0","v52310329","1.2","57770802","","","","0"
"2016","Canada","2016A000011124","Total coal","Megawatt hours","210","units ","0","v52310329","1.2","57903342","","","","0"
"2017","Canada","2016A000011124","Total coal","Megawatt hours","210","units ","0","v52310329","1.2","55917792","","","","0"
"2018","Canada","2016A000011124","Total coal","Megawatt hours","210","units ","0","v52310329","1.2","47034158","","","","0"
"2005","Canada","2016A000011124","Wood","Megawatt hours","210","units ","0","v52310319","1.10","1781211","","","","0"
"2006","Canada","2016A000011124","Wood","Megawatt hours","210","units ","0","v52310319","1.10","1862328","","","","0"
"2007","Canada","2016A000011124","Wood","Megawatt hours","210","units ","0","v52310319","1.10","1766244","","","","0"
